Nome via;geopoint;edge_id
VIA ANDREA COSTA;44.494098107005, 11.3112243441924;a77[1][1]
VIA FRANCESCO RONCATI;44.4937079783006, 11.3282993665462;a117
VIALE M. KARAMCHAND GANDHI;44.4990522268361, 11.3086826273458;b2[1][1][1]b
LARGO BARTOLO NIGRISOLI;44.5039310321156, 11.3156585697439;b71
VIA INNOCENZO MALVASIA;44.5013990198351, 11.3217226486705;b53
VIA INNOCENZO MALVASIA;44.5012616462669, 11.3216426062022;b53
VIA SARAGOZZA;44.4903451512572, 11.3258609026138;a60
VIALE ANTONIO ALDINI;44.4900319161705, 11.3297300781334;a210
VIA ANDREA COSTA;44.4939849418073, 11.3110304555682;a77[1][1]
VIA PIETRO DE COUBERTIN;44.4936129820353, 11.3108762401867;a78[0]
VIALE GIOVANNI VICINI;44.494907669431, 11.3283987885526;a201
VIALE M. KARAMCHAND GANDHI;44.4978561467662, 11.31326041783;b2[1][0]
VIALE GIOVANNI VICINI;44.4968992842874, 11.3275349874958;a201
VIALE GIOVANNI VICINI;44.4972874200715, 11.3276196333253;a204a[0]
VIALE SANDRO PERTINI;44.5053085046798, 11.3092167352814;b4[1][1][0]
VIA EMILIA PONENTE;44.5041992237176, 11.3133986552922;b76
VIA INNOCENZO MALVASIA;44.5013661662167, 11.3218017649932;b53
VIA AURELIO SAFFI;44.5004735823277, 11.3239415903186;b12
VIALE ANTONIO SILVANI;44.4996245123973, 11.3275922602577;a204[1][1]
VIALE ANTONIO SILVANI;44.5007251431592, 11.3294927544257;a203[0]
VIALE ANTONIO SILVANI;44.5010668033697, 11.330518010785;a204[1][1]
VIALE ANTONIO ALDINI;44.49047298, 11.32963801;a210
VIALE CARLO PEPOLI;44.4937218654403, 11.3287720902502;a43[0]
VIA CIMABUE;44.5033998910462, 11.314438289839;b31
VIA PASUBIO;44.5006771544669, 11.3107102075303;b15
VIA S.FELICE;44.4980414260355, 11.3307270636654;a55
VIALE CARLO PEPOLI;44.4912436304454, 11.3295725650354;a210
PIAZZA DI PORTA S.ISAIA;44.494620361561, 11.328674717615;a134
VIALE M. KARAMCHAND GANDHI;44.4991747026869, 11.3087294098062;b2[1][1][1]b
VIALE M. KARAMCHAND GANDHI;44.4985943485971, 11.3103750297562;b2[1][0]
VIA MARZABOTTO;44.499278975506, 11.3101650805774;b23
VIA DEL TIMAVO;44.4977904881531, 11.3163420592928;b38[0]
VIA PASUBIO;44.500559242279, 11.3112946339157;b26.-170
VIA SABOTINO;44.4970385266486, 11.3237550845001;a122
VIA MARZABOTTO;44.5039186889583, 11.3132064397937;b17[1]
VIA PASUBIO;44.4989091324745, 11.316433339438;b37
VIALE M. KARAMCHAND GANDHI;44.4988573896583, 11.3094985934965;b20+19a
VIA TOLMINO;44.4974672343601, 11.3160312523868;b38[0]
